age,year,which_data,value
2,1933,baa,42
3,1933,baa,2946
4,1933,baa,14407
5,1933,baa,56617
6,1933,baa,71540
7,1933,baa,78541
8,1933,baa,58345
9,1933,baa,53175
10,1933,baa,57354
11,1933,baa,39269
12,1933,baa,39292
13,1933,baa,47135
14,1933,baa,32049
15,1933,baa,28528
16,1933,baa,22667
17,1933,baa,25470
18,1933,baa,13117
19,1933,baa,1534
20,1933,baa,2898
2,1934,baa,202
3,1934,baa,1954
4,1934,baa,15167
5,1934,baa,53006
6,1934,baa,145278
7,1934,baa,97933
8,1934,baa,62220
9,1934,baa,40973
10,1934,baa,36926
11,1934,baa,31012
12,1934,baa,17447
13,1934,baa,23889
14,1934,baa,16249
15,1934,baa,17890
16,1934,baa,10127
17,1934,baa,8134
18,1934,baa,8207
19,1934,baa,2168
20,1934,baa,1309
2,1935,baa,402
3,1935,baa,6575
4,1935,baa,15182
5,1935,baa,50826
6,1935,baa,74638
7,1935,baa,166244
8,1935,baa,107834
9,1935,baa,55155
10,1935,baa,39000
11,1935,baa,32704
12,1935,baa,26361
13,1935,baa,30233
14,1935,baa,22359
15,1935,baa,16515
16,1935,baa,8488
17,1935,baa,12352
18,1935,baa,7005
19,1935,baa,3312
20,1935,baa,2243
2,1936,baa,12
3,1936,baa,1760
4,1936,baa,15790
5,1936,baa,41184
6,1936,baa,82344
7,1936,baa,106838
8,1936,baa,144533
9,1936,baa,89282
10,1936,baa,47423
11,1936,baa,26113
12,1936,baa,15475
13,1936,baa,23925
14,1936,baa,20664
15,1936,baa,16631
16,1936,baa,10838
17,1936,baa,3703
18,1936,baa,5894
19,1936,baa,1210
20,1936,baa,1625
2,1937,baa,115
3,1937,baa,4779
4,1937,baa,36296
5,1937,baa,82445
6,1937,baa,77259
7,1937,baa,98458
8,1937,baa,64497
9,1937,baa,62948
10,1937,baa,27863
11,1937,baa,17025
12,1937,baa,9462
13,1937,baa,11059
14,1937,baa,6570
15,1937,baa,5908
16,1937,baa,4699
17,1937,baa,2679
18,1937,baa,1694
19,1937,baa,3212
20,1937,baa,1280
2,1938,baa,111
3,1938,baa,5189
4,1938,baa,42830
5,1938,baa,88298
6,1938,baa,119014
7,1938,baa,91293
8,1938,baa,82025
9,1938,baa,45265
10,1938,baa,51147
11,1938,baa,22368
12,1938,baa,13973
13,1938,baa,12774
14,1938,baa,8471
15,1938,baa,4185
16,1938,baa,2472
17,1938,baa,1243
18,1938,baa,649
19,1938,baa,476
20,1938,baa,1517
2,1939,baa,40
3,1939,baa,2088
4,1939,baa,51860
5,1939,baa,181108
6,1939,baa,185165
7,1939,baa,139121
8,1939,baa,83619
9,1939,baa,61171
10,1939,baa,34929
11,1939,baa,21022
12,1939,baa,21783
13,1939,baa,11750
14,1939,baa,7390
15,1939,baa,4998
16,1939,baa,3556
17,1939,baa,818
18,1939,baa,540
19,1939,baa,549
20,1939,baa,187
2,1940,baa,8
3,1940,baa,1472
4,1940,baa,21794
5,1940,baa,88755
6,1940,baa,200770
7,1940,baa,178465
8,1940,baa,111641
9,1940,baa,51879
10,1940,baa,39337
11,1940,baa,24023
12,1940,baa,18588
13,1940,baa,18204
14,1940,baa,8626
15,1940,baa,3800
16,1940,baa,3306
17,1940,baa,2054
18,1940,baa,607
19,1940,baa,304
20,1940,baa,712
2,1941,baa,955
3,1941,baa,6155
4,1941,baa,33056
5,1941,baa,72474
6,1941,baa,124536
7,1941,baa,142255
8,1941,baa,61942
9,1941,baa,28662
10,1941,baa,12164
11,1941,baa,7520
12,1941,baa,4980
13,1941,baa,3072
14,1941,baa,1241
15,1941,baa,1308
16,1941,baa,1423
17,1941,baa,799
18,1941,baa,194
19,1941,baa,66
20,1941,baa,244
2,1942,baa,5
3,1942,baa,4378
